ลำดับ,หน่วยงาน,ชื่อหน่วยงาน,จังหวัด,ชื่อแหล่งท่องเที่ยว,latitude,longitude,เปิดตลอดปี,วันที่เริ่มปิด,วันที่สิ้นสุดการปิด,สาเหตุการปิด,หมายเหตุ,,,,,,,,,,,,,,
52,อุทยานแห่งชาติ,ปางสีดา,สระแก้ว,น้ำตกทับซุง,14.06116,102.27503,ไม่ใช่,1-ม.ค.,31-ส.ค.,เนื่องจากเป็นช่วงฤดูแล้ง ไม่มีน้ำ,,,,,,,,,,,,,,,
53,อุทยานแห่งชาติ,ปางสีดา,สระแก้ว,จุดชมทิวทัศน์ กม. 25,14.07713,102.25907,ใช่,-,-,,,,,,,,,,,,,,,,
54,อุทยานแห่งชาติ,ปางสีดา,สระแก้ว,จุดสกัดลานหิน,14.10952,102.26386,ไม่ใช่,,,ปิดตลอดทั้งปี,,,,,,,,,,,,,,,
55,อุทยานแห่งชาติ,ปางสีดา,สระแก้ว,ลานหินดาด,14.03513,102.20252,ไม่ใช่,-,-,ปิดตลอดทั้งปี,,,,,,,,,,,,,,,
56,อุทยานแห่งชาติ,ปางสีดา,สระแก้ว,บ้านโซนที่ 1 โซนที่ทำการอุทยานแห่งชาติ,13.98614,102.20543,ใช่,-,-,,,,,,,,,,,,,,,,
57,อุทยานแห่งชาติ,ปางสีดา,สระแก้ว,บ้านโซนที่ 2 โซนที่ทำการอุทยานแห่งชาติ ใกล้น้ำตกปางสีดา,13.99757,102.20537,ใช่,-,-,,,,,,,,,,,,,,,,
58,อุทยานแห่งชาติ,ปางสีดา,สระแก้ว,ลานกางเต็นท์ปางสีดา,13.98309,102.20215,ใช่,-,-,,,,,,,,,,,,,,,,
59,อุทยานแห่งชาติ,ปางสีดา,สระแก้ว,ลานกางเต็นท์ห้วยน้ำเย็น,14.04038,102.26589,ใช่,-,-,,,,,,,,,,,,,,,,
60,อุทยานแห่งชาติ,ตาพระยา,สระแก้ว,ป่าสลัดได,14.11788,102.64036,ใช่,-,-,,,,,,,,,,,,,,,,
61,อุทยานแห่งชาติ,ตาพระยา,สระแก้ว,จุดชมทิวทัศน์ผาแดง,14.14696,102.66604,ใช่,-,-,,,,,,,,,,,,,,,,
62,อุทยานแห่งชาติ,ตาพระยา,สระแก้ว,รอยจารึกพระบรมราชโองการ ศาล ร.5,14.14812,102.66355,ใช่,-,-,,,,,,,,,,,,,,,,
63,อุทยานแห่งชาติ,ตาพระยา,สระแก้ว,ละลุ,14.13822,102.89009,ใช่,-,-,,,,,,,,,,,,,,,,
64,อุทยานแห่งชาติ,ตาพระยา,สระแก้ว,เขายักษ์,14.11486,102.64004,ใช่,-,-,,,,,,,,,,,,,,,,
65,อุทยานแห่งชาติ,ตาพระยา,สระแก้ว,จุดชมวิวเทือกเขาบรรทัด,14.14568,102.58621,ใช่,-,-,,,,,,,,,,,,,,,,
66,อุทยานแห่งชาติ,ตาพระยา,สระแก้ว,ลานหินตัด,14.13663,102.87636,ใช่,-,-,,,,,,,,,,,,,,,,
67,อุทยานแห่งชาติ,ตาพระยา,สระแก้ว,กลางดง,14.12928,102.58177,ใช่,-,-,,,,,,,,,,,,,,,,
68,อุทยานแห่งชาติ,ตาพระยา,สระแก้ว,โซนที่ 1 โซนที่ทำการอุทยานแห่งชาติ,14.13121,102.66948,ใช่,-,-,,,,,,,,,,,,,,,,
69,อุทยานแห่งชาติ,ตาพระยา,สระแก้ว,โซนที่ 2 โซนหน่วยพิทักษ์อุทยานแห่งชาติ (กลางดง),14.12911,102.58174,ใช่,-,-,,,,,,,,,,,,,,,,
70,อุทยานแห่งชาติ,ตาพระยา,สระแก้ว,ลานกางเต็นท์กลางดง,14.12921,102.58235,ใช่,-,-,,,,,,,,,,,,,,,,
71,อุทยานแห่งชาติ,น้ำตกสามหลั่น,สระบุรี,น้ำตกสามหลั่น,14.43141,100.96436,ไม่ใช่,1-ก.พ.,28-ก.พ.,ให้ธรรมชาติฟื้นตัว,,,,,,,,,,,,,,,
72,อุทยานแห่งชาติ,น้ำตกสามหลั่น,สระบุรี,น้ำตกโพธิ์หินดาด,14.43514,100.96930,ไม่ใช่,1-ก.พ.,28-ก.พ.,ให้ธรรมชาติฟื้นตัว,,,,,,,,,,,,,,,
73,อุทยานแห่งชาติ,น้ำตกสามหลั่น,สระบุรี,น้ำตกโตนรากไทร,14.43800,100.96651,ไม่ใช่,1-ก.พ.,28-ก.พ.,ให้ธรรมชาติฟื้นตัว,,,,,,,,,,,,,,,
74,อุทยานแห่งชาติ,น้ำตกสามหลั่น,สระบุรี,อ่างเก็บน้ำซับปลากั้ง,14.41350,100.97802,ไม่ใช่,1-ก.พ.,28-ก.พ.,ให้ธรรมชาติฟื้นตัว,,,,,,,,,,,,,,,
75,อุทยานแห่งชาติ,น้ำตกสามหลั่น,สระบุรี,บ้านโซนที่ 1 โซนที่ทำการอุทยานแห่งชาติ โซนชมธารา อยู่ริมอ่างเก็บน้ำ,14.44291,100.95970,ไม่ใช่,1-ก.พ.,28-ก.พ.,ปรับปรุงบ้านพักให้พร้อมใช้งาน,,,,,,,,,,,,,,,
76,อุทยานแห่งชาติ,น้ำตกสามหลั่น,สระบุรี,บ้านโซนที่ 2 โซนที่ทำการอุทยานแห่งชาติ โซนดงหวาย อยู่ริมอ่างเก็บน้ำ,14.44066,100.96096,ไม่ใช่,1-ก.พ.,28-ก.พ.,ปรับปรุงบ้านพักให้พร้อมใช้งาน,,,,,,,,,,,,,,,
77,อุทยานแห่งชาติ,น้ำตกสามหลั่น,สระบุรี,บ้านโซนที่ 3 โซนที่ทำการอุทยานแห่งชาติ โซนค่ายเยาวชน อยู่บนเนินชายเขา,14.43987,100.96024,ไม่ใช่,1-ก.พ.,28-ก.พ.,ปรับปรุงบ้านพักให้พร้อมใช้งาน,,,,,,,,,,,,,,,
78,อุทยานแห่งชาติ,น้ำตกสามหลั่น,สระบุรี,ลานกางเต็นท์อ่างเก็บน้ำเขารวก,14.44161,100.96010,ไม่ใช่,1-ก.พ.,28-ก.พ.,ให้ธรรมชาติฟื้นตัว,,,,,,,,,,,,,,,
79,อุทยานแห่งชาติ,น้ำตกสามหลั่น,สระบุรี,อ่างเก็บน้ำเขารวก,14.44358,100.95861,ไม่ใช่,1-ก.พ.,28-ก.พ.,ให้ธรรมชาติฟื้นตัว,,,,,,,,,,,,,,,
80,อุทยานแห่งชาติ,น้ำตกเจ็ดสาวน้อย,สระบุรี,น้ำตกเจ็ดสาวน้อย,14.72475,101.19052,ใช่,,,,,,,,,,,,,,,,,,
81,อุทยานแห่งชาติ,น้ำตกเจ็ดสาวน้อย,สระบุรี,บ้านพักโซนที่ 1 บ้านพักศิริพบ,14.73177,101.1935,ใช่,,,,,,,,,,,,,,,,,,
82,อุทยานแห่งชาติ,น้ำตกเจ็ดสาวน้อย,สระบุรี,ลานกางเต็นท์เจ็ดสาวน้อย,14.72792,101.19183,ใช่,,,,,,,,,,,,,,,,,,
83,อุทยานแห่งชาติ,น้ำตกเจ็ดสาวน้อย,สระบุรี,น้ำตกเกาะสีชัง,14.73273,101.19127,ใช่,,,,,,,,,,,,,,,,,,
84,อุทยานแห่งชาติ,น้ำตกเจ็ดสาวน้อย,สระบุรี,อ่างเก็บน้ำมวกเหล็ก,14.80128,101.16173,ใช่,,,,,,,,,,,,,,,,,,
86,อุทยานแห่งชาติ,เจ็ดคด-โป่งก้อนเส้า,สระบุรี,ลานกางเต็นท์,14.494748,101.163139,ไม่ใช่,1-มี.ค.,31-มี.ค.,ปิดประจำปีฟื้นฟูธรรมชาติ,,,,,,,,,,,,,,,
87,อุทยานแห่งชาติ,เจ็ดคด-โป่งก้อนเส้า,สระบุรี,อ่างเก็บน้ำซับป่าว่าน,14.495736,101.163767,ไม่ใช่,1-มี.ค.,31-มี.ค.,ปิดประจำปีฟื้นฟูธรรมชาติ,,,,,,,,,,,,,,,
88,อุทยานแห่งชาติ,เจ็ดคด-โป่งก้อนเส้า,สระบุรี,จุดชมวิวผานางอาย,14.506722,101.157107,ไม่ใช่,1-มี.ค.,31-มี.ค.,ปิดประจำปีฟื้นฟูธรรมชาติ,,,,,,,,,,,,,,,
