fiscal_year_be,park_name_x,office,month_th,visitors,month_num,calendar_year_be,calendar_year_ce,date,park_key,park_key_final,park_name_y,min_rain,max_rain,avg_rain
2566,ถ้ำปลา-น้ำตกผาเสื่อ,สำนักบริหารพื้นที่อนุรักษ์ที่ 16 สาขาแม่สะเรียง,ก.ย.,883,9,2566,2023,2023-09-01,ถ้ำปลา-น้ำตกผาเสื่อ,ถ้ำปลา-น้ำตกผาเสื่อ,ถ้ำปลา-น้ำตกผาเสื่อ,328.5,392.3699951,344.708217
2566,ถ้ำผาไท,สำนักบริหารพื้นที่อนุรักษ์ที่ 13 สาขาลำปาง,ก.ย.,932,9,2566,2023,2023-09-01,ถ้ำผาไท,ถ้ำผาไท,ถ้ำผาไท,243.3300018,559.3400269,390.482215
2566,ถ้ำสะเกิน,สำนักบริหารพื้นที่อนุรักษ์ที่ 13 (แพร่),ก.ย.,298,9,2566,2023,2023-09-01,ถ้ำสะเกิน,ถ้ำสะเกิน,ถ้ำสะเกิน,204.1900024,459.1799927,297.1029319
2566,ถ้ำหลวง-ขุนน้ำนางนอน,สำนักบริหารพื้นที่อนุรักษ์ที่ 15 (เชียงราย),ก.ย.,0,9,2566,2023,2023-09-01,ถ้ำหลวง-ขุนน้ำนางนอน,ถ้ำหลวง-ขุนน้ำนางนอน,ถ้ำหลวง-ขุนน้ำนางนอน,245.6300049,394.1000061,290.5354538
2566,ทองผาภูมิ,สำนักบริหารพื้นที่อนุรักษ์ที่ 3 (บ้านโป่ง),ก.ย.,5846,9,2566,2023,2023-09-01,ทองผาภูมิ,ทองผาภูมิ,ทองผาภูมิ,102.6100006,422.6700134,254.0224666
2566,ทะเลบัน,สำนักบริหารพื้นที่อนุรักษ์ที่ 5 (นครศรีธรรมราช),ก.ย.,783,9,2566,2023,2023-09-01,ทะเลบัน,ทะเลบัน,ทะเลบัน,263.3999939,463.9299927,363.8566553
2566,ทับลาน,สำนักบริหารพื้นที่อนุรักษ์ที่ 1 (ปราจีนบุรี),ก.ย.,4855,9,2566,2023,2023-09-01,ทับลาน,ทับลาน,ทับลาน,344.5400085,775.8200073,455.3006836
2566,ทุ่งแสลงหลวง,สำนักบริหารพื้นที่อนุรักษ์ที่ 11 (พิษณุโลก),ก.ย.,1886,9,2566,2023,2023-09-01,ทุ่งแสลงหลวง,ทุ่งแสลงหลวง,ทุ่งแสลงหลวง,272.7399902,422.6099854,333.7628666
2566,ธารเสด็จ-เกาะพะงัน,สำนักบริหารพื้นที่อนุรักษ์ที่ 4 (สุราษฎร์ธานี),ก.ย.,3621,9,2566,2023,2023-09-01,ธารเสด็จ-เกาะพะงัน,ธารเสด็จ-เกาะพะงัน,ธารเสด็จ-เกาะพะงัน,71.86000061,800.0800171,291.7693716
2566,ธารโบกขรณี,สำนักบริหารพื้นที่อนุรักษ์ที่ 5 (นครศรีธรรมราช),ก.ย.,4040,9,2566,2023,2023-09-01,ธารโบกขรณี,ธารโบกขรณี,ธารโบกขรณี,220.1300049,525.1900024,334.6009188
2566,นันทบุรี,สำนักบริหารพื้นที่อนุรักษ์ที่ 13 (แพร่),ก.ย.,252,9,2566,2023,2023-09-01,นันทบุรี,นันทบุรี,นันทบุรี,204.1900024,459.1799927,297.1029319
2566,นายูง-น้ำโสม,สำนักบริหารพื้นที่อนุรักษ์ที่ 10 (อุดรธานี),ก.ย.,632,9,2566,2023,2023-09-01,นายูง-น้ำโสม,นายูง-น้ำโสม,นายูง-น้ำโสม,299.7099915,456.3200073,343.5977111
2566,น้ำตกคลองแก้ว,สำนักบริหารพื้นที่อนุรักษ์ที่ 2 (ศรีราชา),ก.ย.,265,9,2566,2023,2023-09-01,น้ำตกคลองแก้ว,น้ำตกคลองแก้ว,น้ำตกคลองแก้ว,512.6500244,1192.699951,632.0836923
2566,น้ำตกชาติตระการ,สำนักบริหารพื้นที่อนุรักษ์ที่ 11 (พิษณุโลก),ก.ย.,461,9,2566,2023,2023-09-01,น้ำตกชาติตระการ,น้ำตกชาติตระการ,น้ำตกชาติตระการ,272.7399902,422.6099854,333.7628666
2566,น้ำตกซีโป,สำนักบริหารพื้นที่อนุรักษ์ที่ 6 สาขาปัตตานี,ก.ย.,1899,9,2566,2023,2023-09-01,น้ำตกซีโป,น้ำตกซีโป,น้ำตกซีโป,174.4700012,295.4899902,250.5269076
2566,น้ำตกทรายขาว,สำนักบริหารพื้นที่อนุรักษ์ที่ 6 สาขาปัตตานี,ก.ย.,3981,9,2566,2023,2023-09-01,น้ำตกทรายขาว,น้ำตกทรายขาว,น้ำตกทรายขาว,143.75,267.6199951,216.2332816
2566,น้ำตกบัวตอง-น้ำพุเจ็ดสี,สำนักบริหารพื้นที่อนุรักษ์ที่ 16 (เชียงใหม่),ก.ย.,12594,9,2566,2023,2023-09-01,น้ำตกบัวตอง-น้ำพุเจ็ดสี,น้ำตกบัวตอง-น้ำพุเจ็ดสี,น้ำตกบัวตอง-น้ำพุเจ็ดสี,299.3399963,522.7700195,378.3457281
2566,น้ำตกพลิ้ว,สำนักบริหารพื้นที่อนุรักษ์ที่ 2 (ศรีราชา),ก.ย.,13901,9,2566,2023,2023-09-01,น้ำตกพลิ้ว,น้ำตกพลิ้ว,น้ำตกพลิ้ว,275.0100098,539.789978,438.8140514
2566,น้ำตกพาเจริญ,สำนักบริหารพื้นที่อนุรักษ์ที่ 14 (ตาก),ก.ย.,4661,9,2566,2023,2023-09-01,น้ำตกพาเจริญ,น้ำตกพาเจริญ,น้ำตกพาเจริญ,253.4199982,460.9700012,359.5609933
2566,น้ำตกสามหลั่น,สำนักบริหารพื้นที่อนุรักษ์ที่ 1 สาขาสระบุรี,ก.ย.,7372,9,2566,2023,2023-09-01,น้ำตกสามหลั่น,น้ำตกสามหลั่น,น้ำตกสามหลั่น,196.9199982,555.7399902,300.1995879
2566,น้ำตกสี่ขีด,สำนักบริหารพื้นที่อนุรักษ์ที่ 5 (นครศรีธรรมราช),ก.ย.,190,9,2566,2023,2023-09-01,น้ำตกสี่ขีด,น้ำตกสี่ขีด,น้ำตกสี่ขีด,106.2600021,335.5799866,187.9263927
2566,น้ำตกหงาว,สำนักบริหารพื้นที่อนุรักษ์ที่ 4 (สุราษฎร์ธานี),ก.ย.,7386,9,2566,2023,2023-09-01,น้ำตกหงาว,น้ำตกหงาว,น้ำตกหงาว,234.0500031,908.7999878,579.8098452
2566,น้ำตกห้วยยาง,สำนักบริหารพื้นที่อนุรักษ์ที่ 3 สาขาเพชรบุรี,ก.ย.,1044,9,2566,2023,2023-09-01,น้ำตกห้วยยาง,น้ำตกห้วยยาง,น้ำตกห้วยยาง,57.43999863,233.7899933,102.5397674
2566,น้ำตกเจ็ดสาวน้อย,สำนักบริหารพื้นที่อนุรักษ์ที่ 1 สาขาสระบุรี,ก.ย.,14793,9,2566,2023,2023-09-01,น้ำตกเจ็ดสาวน้อย,น้ำตกเจ็ดสาวน้อย,น้ำตกเจ็ดสาวน้อย,196.9199982,555.7399902,300.1995879
2566,น้ำตกแม่สุรินทร์,สำนักบริหารพื้นที่อนุรักษ์ที่ 16 สาขาแม่สะเรียง,ก.ย.,23,9,2566,2023,2023-09-01,น้ำตกแม่สุรินทร์,น้ำตกแม่สุรินทร์,น้ำตกแม่สุรินทร์,328.5,392.3699951,344.708217
2566,น้ำตกโยง,สำนักบริหารพื้นที่อนุรักษ์ที่ 5 (นครศรีธรรมราช),ก.ย.,2349,9,2566,2023,2023-09-01,น้ำตกโยง,น้ำตกโยง,น้ำตกโยง,106.2600021,335.5799866,187.9263927
2566,น้ำพอง,สำนักบริหารพื้นที่อนุรักษ์ที่ 8 (ขอนแก่น),ก.ย.,1311,9,2566,2023,2023-09-01,น้ำพอง,น้ำพอง,น้ำพอง,317.6600037,428.0499878,355.9758359
2566,น้ำหนาว,สำนักบริหารพื้นที่อนุรักษ์ที่ 11 (พิษณุโลก),ก.ย.,787,9,2566,2023,2023-09-01,น้ำหนาว,น้ำหนาว,น้ำหนาว,197.1199951,340.5799866,302.5674189
2566,บางลาง,สำนักบริหารพื้นที่อนุรักษ์ที่ 6 สาขาปัตตานี,ก.ย.,390,9,2566,2023,2023-09-01,บางลาง,บางลาง,บางลาง,134.7799988,246.8800049,196.9120485
2566,บูโด-สุไหงปาดี,สำนักบริหารพื้นที่อนุรักษ์ที่ 6 สาขาปัตตานี,ก.ย.,1795,9,2566,2023,2023-09-01,บูโด-สุไหงปาดี,บูโด-สุไหงปาดี,บูโด-สุไหงปาดี,174.4700012,295.4899902,250.5269076
2566,ปางสีดา,สำนักบริหารพื้นที่อนุรักษ์ที่ 1 (ปราจีนบุรี),ก.ย.,2880,9,2566,2023,2023-09-01,ปางสีดา,ปางสีดา,ปางสีดา,253.3600006,415.6900024,348.7190825
2566,ป่าหินงาม,สำนักบริหารพื้นที่อนุรักษ์ที่ 7 (นครราชสีมา),ก.ย.,3973,9,2566,2023,2023-09-01,ป่าหินงาม,ป่าหินงาม,ป่าหินงาม,217.5700073,363.8200073,310.844778
2566,ผาแดง,สำนักบริหารพื้นที่อนุรักษ์ที่ 16 (เชียงใหม่),ก.ย.,1173,9,2566,2023,2023-09-01,ผาแดง,ผาแดง,ผาแดง,299.3399963,522.7700195,378.3457281
2566,ผาแต้ม,สำนักบริหารพื้นที่อนุรักษ์ที่ 9 (อุบลราชธานี),ก.ย.,9298,9,2566,2023,2023-09-01,ผาแต้ม,ผาแต้ม,ผาแต้ม,392.7600098,558.9299927,474.6366856
2566,พุเตย,สำนักบริหารพื้นที่อนุรักษ์ที่ 3 (บ้านโป่ง),ก.ย.,868,9,2566,2023,2023-09-01,พุเตย,พุเตย,พุเตย,125.5599976,245.4600067,173.7939511
2566,ภูกระดึง,สำนักบริหารพื้นที่อนุรักษ์ที่ 8 (ขอนแก่น),ก.ย.,253,9,2566,2023,2023-09-01,ภูกระดึง,ภูกระดึง,ภูกระดึง,288.1000061,396.1300049,345.2427449
2566,ภูจองนายอย,สำนักบริหารพื้นที่อนุรักษ์ที่ 9 (อุบลราชธานี),ก.ย.,9249,9,2566,2023,2023-09-01,ภูจองนายอย,ภูจองนายอย,ภูจองนายอย,392.7600098,558.9299927,474.6366856
2566,ภูชี้ฟ้า,สำนักบริหารพื้นที่อนุรักษ์ที่ 15 (เชียงราย),ก.ย.,1332,9,2566,2023,2023-09-01,ภูชี้ฟ้า,ภูชี้ฟ้า,ภูชี้ฟ้า,245.6300049,394.1000061,290.5354538
2566,ภูซาง,สำนักบริหารพื้นที่อนุรักษ์ที่ 15 (เชียงราย),ก.ย.,2313,9,2566,2023,2023-09-01,ภูซาง,ภูซาง,ภูซาง,233.6100006,295.9200134,255.2302785
2566,ภูผาม่าน,สำนักบริหารพื้นที่อนุรักษ์ที่ 8 (ขอนแก่น),ก.ย.,1509,9,2566,2023,2023-09-01,ภูผาม่าน,ภูผาม่าน,ภูผาม่าน,317.6600037,428.0499878,355.9758359
2566,ภูผายล,สำนักบริหารพื้นที่อนุรักษ์ที่ 10 (อุดรธานี),ก.ย.,1451,9,2566,2023,2023-09-01,ภูผายล,ภูผายล,ภูผายล,361.7399902,572.6900024,481.0356037
2566,ภูผาเทิบ,สำนักบริหารพื้นที่อนุรักษ์ที่ 9 (อุบลราชธานี),ก.ย.,1330,9,2566,2023,2023-09-01,ภูผาเทิบ,ภูผาเทิบ,ภูผาเทิบ,484.3099976,599.5900269,555.7310595
2566,ภูผาเหล็ก,สำนักบริหารพื้นที่อนุรักษ์ที่ 10 (อุดรธานี),ก.ย.,131,9,2566,2023,2023-09-01,ภูผาเหล็ก,ภูผาเหล็ก,ภูผาเหล็ก,361.7399902,572.6900024,481.0356037
2566,ภูพาน,สำนักบริหารพื้นที่อนุรักษ์ที่ 10 (อุดรธานี),ก.ย.,50,9,2566,2023,2023-09-01,ภูพาน,ภูพาน,ภูพาน,361.7399902,572.6900024,481.0356037
2566,ภูลังกา,สำนักบริหารพื้นที่อนุรักษ์ที่ 10 (อุดรธานี),ก.ย.,11175,9,2566,2023,2023-09-01,ภูลังกา,ภูลังกา,ภูลังกา,389.269989,649.289978,519.4890842
2566,ภูสระดอกบัว,สำนักบริหารพื้นที่อนุรักษ์ที่ 9 (อุบลราชธานี),ก.ย.,236,9,2566,2023,2023-09-01,ภูสระดอกบัว,ภูสระดอกบัว,ภูสระดอกบัว,484.3099976,599.5900269,555.7310595
