park_name,province,office,latitude,longitude
หมู่เกาะชุมพร,ชุมพร,สำนักบริหารพื้นที่อนุรักษ์ที่ 4 (สุราษฎร์ธานี),10.3722,99.29755
หมู่เกาะช้าง,ตราด,สำนักบริหารพื้นที่อนุรักษ์ที่ 2 (ศรีราชา),12.04135,102.36824999999999
หมู่เกาะระนอง,ระนอง,สำนักบริหารพื้นที่อนุรักษ์ที่ 4 (สุราษฎร์ธานี),9.8695636765,98.5401052
หมู่เกาะลันตา,กระบี่ี่,สำนักบริหารพื้นที่อนุรักษ์ที่ 5 (นครศรีธรรมราช),7.447342000000001,99.08126949999999
หมู่เกาะสิมิลัน,พังงา,สำนักบริหารพื้นที่อนุรักษ์ที่ 5 (นครศรีธรรมราช),8.613916,97.647166
หมู่เกาะสุรินทร์,พังงา,สำนักบริหารพื้นที่อนุรักษ์ที่ 5 (นครศรีธรรมราช),9.416665,97.875816
หมู่เกาะอ่างทอง,สุราษฎร์ธานี,สำนักบริหารพื้นที่อนุรักษ์ที่ 4 (สุราษฎร์ธานี),9.6357422,99.6707583
หมู่เกาะเภตรา,สตูล,สำนักบริหารพื้นที่อนุรักษ์ที่ 5 (นครศรีธรรมราช),6.835713,99.754821
หาดขนอม-หมู่เกาะทะเลใต้,นครศรีธรรมราช,สำนักบริหารพื้นที่อนุรักษ์ที่ 5 (นครศรีธรรมราช),9.312384,99.838173
หาดนพรัตน์ธารา-หมู่เกาะพีพี,กระบี่,สำนักบริหารพื้นที่อนุรักษ์ที่ 5 (นครศรีธรรมราช),7.965792,98.797496
หาดวนกร,ประจวบคีรีขันธ์,สำนักบริหารพื้นที่อนุรักษ์ที่ 3 สาขาเพชรบุรี,11.636034500000001,99.70355599999999
หาดเจ้าไหม,ตรัง,สำนักบริหารพื้นที่อนุรักษ์ที่ 5 (นครศรีธรรมราช),7.379708,99.342146
ห้วยน้ำดัง,เชียงใหม่,สำนักบริหารพื้นที่อนุรักษ์ที่ 16 (เชียงใหม่),19.308448,98.600206
ออบขาน,เชียงใหม่,สำนักบริหารพื้นที่อนุรักษ์ที่ 16 (เชียงใหม่),18.60304,98.65488500000001
ออบหลวง,เชียงใหม่,สำนักบริหารพื้นที่อนุรักษ์ที่ 16 (เชียงใหม่),18.247501,98.4825385
อ่าวพังงา,พังงา,สำนักบริหารพื้นที่อนุรักษ์ที่ 5 (นครศรีธรรมราช),8.2232,98.4959
อ่าวมะนาว-เขาตันหยง,นราธิวาส,สำนักบริหารพื้นที่อนุรักษ์ที่ 6 สาขาปัตตานี,6.427545,101.861798
อ่าวสยาม,ประจวบคีรีขันธ์,สำนักบริหารพื้นที่อนุรักษ์ที่ 3 สาขาเพชรบุรี,11.21032871,99.5251081
เขลางค์บรรพต,ลำปาง,สำนักบริหารพื้นที่อนุรักษ์ที่ 13 สาขาลำปาง,18.2841,99.5538
เขาคิชฌกูฎ,จันทบุรี,สำนักบริหารพื้นที่อนุรักษ์ที่ 2 (ศรีราชา),12.8395,102.12115
เขาค้อ,เพชรบูรณ์,สำนักบริหารพื้นที่อนุรักษ์ที่ 11 (พิษณุโลก),16.613618000000002,100.999924
เขาชะเมา-เขาวง,ระยอง,สำนักบริหารพื้นที่อนุรักษ์ที่ 2 (ศรีราชา),12.91288,101.7246
เขานัน,นครศรีธรรมราช,สำนักบริหารพื้นที่อนุรักษ์ที่ 5 (นครศรีธรรมราช),8.7802635,99.7738835
เขาน้ำค้าง,สงขลา,สำนักบริหารพื้นที่อนุรักษ์ที่ 6 (สงขลา),6.581398,100.5881555
เขาปู่-เขาย่า,พัทลุง,สำนักบริหารพื้นที่อนุรักษ์ที่ 6 (สงขลา),7.6771925,99.8000245
เขาพนมเบญจา,กระบี่,สำนักบริหารพื้นที่อนุรักษ์ที่ 5 (นครศรีธรรมราช),8.2398935,98.919948
เขาพระวิหาร,ศรีสะเกษ,สำนักบริหารพื้นที่อนุรักษ์ที่ 9 (อุบลราชธานี),14.403145,104.709838
เขาลำปี-หาดท้ายเหมือง,พังงา,สำนักบริหารพื้นที่อนุรักษ์ที่ 5 (นครศรีธรรมราช),8.452684000000001,98.234793
เขาสก,สุราษฎร์ธานี,สำนักบริหารพื้นที่อนุรักษ์ที่ 4 (สุราษฎร์ธานี),8.922591,98.593166
เขาสามร้อยยอด,ประจวบคีรีขันธ์,สำนักบริหารพื้นที่อนุรักษ์ที่ 3 สาขาเพชรบุรี,12.187844,99.983173
เขาสิบห้าชั้น,จันทบุรี,สำนักบริหารพื้นที่อนุรักษ์ที่ 2 (ศรีราชา),13.17267,102.01328
เขาหลวง,นครศรีธรรมราช,สำนักบริหารพื้นที่อนุรักษ์ที่ 5 (นครศรีธรรมราช),8.5426245,99.734142
เขาหลัก-ลำรู่,พัังงา,สำนักบริหารพื้นที่อนุรักษ์ที่ 5 (นครศรีธรรมราช),8.6285,98.2405
เขาแหลม,กาญจนบุรี,สำนักบริหารพื้นที่อนุรักษ์ที่ 3 (บ้านโป่ง),15.020143000000001,98.6001795
เขาแหลมหญ้า-หมู่เกาะเสม็ด,ระยอง,สำนักบริหารพื้นที่อนุรักษ์ที่ 2 (ศรีราชา),12.5736455,101.449714
เขาใหญ่,นครนายก,สำนักบริหารพื้นที่อนุรักษ์ที่ 1 (ปราจีนบุรี),14.43417,101.38522
เขื่อนศรีนครินทร์,กาญจนบุรี,สำนักบริหารพื้นที่อนุรักษ์ที่ 3 (บ้านโป่ง),14.640077,98.9859005
เจ็ดคด-โป่งก้อนเส้า,สระบุรี,สำนักบริหารพื้นที่อนุรักษ์ที่ 1 สาขาสระบุรี,14.494748,101.172379
เฉลิมพระเกียรติไทยประจัน,ราชบุรี,สำนักบริหารพื้นที่อนุรักษ์ที่ 3 (บ้านโป่ง),13.2611,99.4113
เฉลิมรัตนโกสินทร์,กาญจนบุรี,สำนักบริหารพื้นที่อนุรักษ์ที่ 3 (บ้านโป่ง),14.662261855,99.30588044
เวียงโกศัย,แพร่,สำนักบริหารพื้นที่อนุรักษ์ที่ 13 (แพร่),17.96875,99.592402
เอราวัณ,กาญจนบุรี,สำนักบริหารพื้นที่อนุรักษ์ที่ 3 (บ้านโป่ง),14.37289475,99.1464992
แก่งกระจาน,เพชรบุรี,สำนักบริหารพื้นที่อนุรักษ์ที่ 3 สาขาเพชรบุรี,12.82444,99.49859
แก่งกรุง,สุราษฎร์ธานี,สำนักบริหารพื้นที่อนุรักษ์ที่ 4 (สุราษฎร์ธานี),9.341306405000001,98.8548117
แก่งตะนะ,อุบลราชธานี,สำนักบริหารพื้นที่อนุรักษ์ที่ 9 (อุบลราชธานี),15.299622,105.47644
แก่งเจ็ดแคว,พิษณุโลก,สำนักบริหารพื้นที่อนุรักษ์ที่ 11,17.176348,100.3994195
แควน้อย,พิษณุโลก,สำนักบริหารพื้นที่อนุรักษ์ที่ 11 (พิษณุโลก),17.176348,100.3994195
แจ้ซ้อน,ลำปาง,สำนักบริหารพื้นที่อนุรักษ์ที่ 13 สาขาลำปาง,18.8417,99.467765
แม่จริม,น่าน,สำนักบริหารพื้นที่อนุรักษ์ที่ 13 (แพร่),18.60074,100.98446
แม่ตะไคร้,เชียงใหม่,สำนักบริหารพื้นที่อนุรักษ์ที่ 16 (เชียงใหม่),18.951865,99.1885775
แม่ปิง,ลำพูน,สำนักบริหารพื้นที่อนุรักษ์ที่ 16 (เชียงใหม่),17.5893997,98.84403435
แม่ปืม,พะเยา,สำนักบริหารพื้นที่อนุรักษ์ที่ 15 (เชียงราย),19.4326,99.88024999999999
แม่ยม,แพร่,สำนักบริหารพื้นที่อนุรักษ์ที่ 13 (แพร่),18.63574725,100.1603593
แม่ยวมฝั่งซ้าย,แม่ฮ่องสอน,สำนักบริหารพื้นที่อนุรักษ์ที่ 16 สาขาแม่สะเรียง,,
แม่วงก์,กำแพงเพชร,สำนักบริหารพื้นที่อนุรักษ์ที่ 12 (นครสวรรค์),16.039616,99.14114
แม่วะ,ลำปาง,สำนักบริหารพื้นที่อนุรักษ์ที่ 13 สาขาลำปาง,17.447827,99.224895
